Urban Area Name,Country,lon,lat
Pearl River Delta urban area,China,113.6216667,22.7694444
Tokyo urban area,Japan,139.6917064,35.6894875
Shanghai urban area,China,121.473701,31.230416
Jakarta urban area,Indonesia,106.822745,-6.1744651
Beijing urban area,China,116.407395,39.904211
Manila urban area,Philippines,120.9842195,14.5995124
Seoul urban area,Republic of Korea,126.9779692,37.566535
Osaka urban area,Japan,135.5021651,34.6937378
Bangkok urban area,Thailand,100.5017651,13.7563309
Tianjin urban area,China,117.200983,39.084158
Shantou urban area,China,116.681972,23.354091
Chengdu urban area,China,104.066801,30.572816
Ho Chi Minh City urban area,Vietnam,106.6296638,10.8230989
Nagoya urban area,Japan,136.906398,35.1814464
Wuhan urban area,China,114.305393,30.593099
Hong Kong SAR urban area,China,114.109497,22.396428
Bandung urban area,Indonesia,107.6191228,-6.9174639
Shenyang urban area,China,123.431472,41.805699
Taipei City urban area,"Taiwan, China",121.5654177,25.0329694
Hangzhou urban area,China,120.15507,30.274085
Surabaya urban area,Indonesia,112.7520883,-7.2574719
Kuala Lumpur urban area,Malaysia,101.686855,3.139003
Xi'an urban area,China,108.93977,34.341575
Ha Noi urban area,Vietnam,105.8341598,21.0277644
Chongqing urban area,China,106.551556,29.56301
Quanzhou urban area,China,118.675676,24.874132
Nanjing urban area,China,118.796877,32.060255
Xiamen urban area,China,118.089425,24.479834
Taiyuan urban area,China,112.548879,37.87059
Qingdao urban area,China,120.382609,36.067108
Medan urban area,Indonesia,98.6722227,3.5951956
Harbin urban area,China,126.534967,45.803775
Zhengzhou urban area,China,113.625328,34.746611
Changsha urban area,China,112.938814,28.228209
Hefei urban area,China,117.227219,31.820592
Anshan urban area,China,122.994329,41.108647
Dalian urban area,China,121.614682,38.914003
Changchun urban area,China,125.323544,43.817072
Yangon City urban area,Myanmar,96.195132,16.8660694
Singapore urban area,Singapore,103.819836,1.352083
Shijiazhuang urban area,China,114.51486,38.042307
Fuzhou urban area,China,119.296494,26.074508
Kunming urban area,China,102.832892,24.880095
Busan urban area,Republic of Korea,129.0756416,35.1795543
Jinan urban area,China,117.12,36.651216
Wenzhou urban area,China,120.699362,27.993828
Semarang urban area,Indonesia,110.4381254,-7.0051453
Wuxi urban area,China,120.31191,31.49117
Ningbo urban area,China,121.54399,29.868336
Kaohsiung urban area,"Taiwan, China",120.3355193,22.6350591
Changzhou urban area,China,119.974062,31.811226
Nanchang urban area,China,115.858198,28.682892
Urumqi urban area,China,87.616848,43.825592
Zibo urban area,China,118.054927,36.813487
Taizhou urban area,China,121.42076,28.65638
Malang urban area,Indonesia,112.6326321,-7.9666204
Lanzhou urban area,China,103.834304,36.061089
Xinxiang urban area,China,113.927016,35.303136
Surakarta urban area,Indonesia,110.8243272,-7.5754887
Tegal urban area,Indonesia,109.1255917,-6.8797041
Guiyang urban area,China,106.630154,26.647661
Tangshan urban area,China,118.180194,39.630867
Fukuoka urban area,Japan,130.4017155,33.5903547
Xuzhou urban area,China,117.284124,34.205768
Baotou urban area,China,109.840349,40.657378
Taegu urban area,Republic of Korea,128.601445,35.8714354
Luoyang urban area,China,112.45404,34.619683
Baoding urban area,China,115.46459,38.874434
Huhehaote urban area,China,111.749181,40.842585
Taichung urban area,"Taiwan, China",120.6736482,24.1477358
Nanning urban area,China,108.366543,22.817002
Yogyakarta urban area,Indonesia,110.3694896,-7.7955798
Cixi urban area,China,121.266579,30.169665
Sapporo urban area,Japan,141.3543763,43.0620958
George Town urban area,Malaysia,100.3091,5.4356367
Datong urban area,China,113.300129,40.076763
Cirebon urban area,Indonesia,108.5523164,-6.7320229
Linyi urban area,China,118.356414,35.104674
Palembang urban area,Indonesia,104.7754307,-2.9760735
Tasikmalaya urban area,Indonesia,108.2171633,-7.3505808
Makassar urban area,Indonesia,119.4327314,-5.1476651
Handan urban area,China,114.538962,36.625657
Huaiyin urban area,China,119.015288,33.61036
Weifang urban area,China,119.161749,36.706962
Kitakyushu urban area,Japan,130.8752161,33.8834093
Cebu urban area,Philippines,123.8854366,10.3156992
Changzhi urban area,China,113.116404,36.195409
Denpasar urban area,Indonesia,115.2126293,-8.6704582
Anyang urban area,China,114.392393,36.097577
Jiaozuo urban area,China,113.241823,35.215893
Xining urban area,China,101.778224,36.617134
Phnom Penh urban area,Cambodia,104.8921668,11.5448729
Tongzhou urban area,China,116.656435,39.909946
Haikou urban area,China,110.198293,20.044002
P'yongyang urban area,Democratic People's Republic of Korea,125.7625241,39.0392193
Jiexiu urban area,China,111.916712,37.026945
Yantai urban area,China,121.447935,37.463822
Jember urban area,Indonesia,113.6680747,-8.1844859
Sukabumi urban area,Indonesia,106.9299579,-6.9277361
Liuzhou urban area,China,109.42841,24.326038
Johor Bahru urban area,Malaysia,103.7413591,1.492659
Putian urban area,China,119.007777,25.454085
Jilin urban area,China,125.325862,43.89654
Kediri  urban area,Indonesia,112.0178286,-7.8480156
Maoming urban area,China,110.925456,21.662999
Qinhuangda urban areao,China,119.600493,39.935385
Yingkou urban area,China,122.235418,40.667012
Xingtai urban area,China,114.504844,37.070589
Hai Phong urban area,Vietnam,106.6880841,20.8449115
Yinchuan urban area,China,106.230909,38.487194
Lingxi urban area,China,111.177234,29.367984
Xiangtan urban area,China,112.944049,27.829738
Jiangyin urban area,China,120.284939,31.920658
Daqing urban area,China,125.103784,46.58931
Jinzhou urban area,China,121.126846,41.095685
Zhangjiakou urban area,China,114.886335,40.767545
Garut urban area,Indonesia,107.9235563,-7.251216
Mandalay urban area,Myanmar,96.0891032,21.9588282
Sendai urban area,Japan,140.8693558,38.268215
Cikampek urban area,Indonesia,107.4381106,-6.3958742
Kaifeng urban area,China,114.307583,34.797281
Dandong urban area,China,124.354451,40.000787
Huaibei urban area,China,116.798265,33.955845
Chifeng urban area,China,118.886856,42.257817
Cianjur urban area,Indonesia,107.1425442,-6.8168237
Kwangju urban area,Republic of Korea,126.8526012,35.1595454
Huainan urban area,China,116.999933,32.625478
Changshu urban area,China,120.752481,31.654376
Yungkang urban area,"Taiwan, China",120.047651,28.888555
Cilacap urban area,Indonesia,109.023521,-7.6982991
Zhanjiang urban area,China,110.359336,21.270746
Yangzhou urban area,China,119.412947,32.394213
Matsumoto urban area,Japan,137.9720341,36.2380381
Bandar Lampung urban area,Indonesia,105.2667887,-5.3971396
Madiun urban area,Indonesia,111.5300159,-7.6310587
Wuhu urban area,China,118.432941,31.352859
Puyang urban area,China,115.029216,35.761829
Tai'an urban area,China,117.087614,36.200252
Hengyang urban area,China,112.572018,26.893369
Purwokerto urban area,Indonesia,109.2396366,-7.4242782
Nara urban area,Japan,135.8050002,34.6850869
Jining urban area,China,116.587282,35.414982
Taejon urban area,Republic of Korea,127.3845475,36.3504119
Rui'an urban area,China,120.655148,27.778657
Zhuzhou urban area,China,113.133853,27.827987
Jiaonan urban area,China,117.650841,32.155333
Ulaanbaatar urban area,Mongolia,106.9057439,47.8863988
Huangshi urban area,China,115.038835,30.200031
Xiangfan urban area,China,112.122415,32.008986
Tengzhou urban area,China,117.164388,35.084021
Yueqing urban area,China,120.983906,28.113725
Yining urban area,China,81.527454,43.977138
Otsu urban area,Japan,135.8546074,35.0178929
Zhangjiagang urban area,China,120.556005,31.875572
Da Nang urban area,Vietnam,108.2021667,16.0544068
Qiqiha'er urban area,China,123.918186,47.354348
Mudanjiang urban area,China,129.633169,44.551653
Guilin urban area,China,110.179954,25.234479
Yiwu urban area,China,120.07514,29.306757
Fuqing urban area,China,119.384334,25.721143
Naha urban area,Japan,127.6791568,26.2123124
Baoji urban area,China,107.237743,34.363184
Gaizhou urban area,China,122.348936,40.400611
Benxi urban area,China,123.685143,41.486981
Ulsan urban area,Republic of Korea,129.3113596,35.5383773
Yueyang urban area,China,113.12873,29.356804
Batam urban area,Indonesia,104.0304535,1.0456264
Davao urban area,Philippines,125.455341,7.190708
Hiroshima urban area,Japan,132.4552927,34.3852029
Keshi urban area,China,75.99379,39.467686
Banyuwangi urban area,Indonesia,114.3691416,-8.2190944
Suqian urban area,China,118.275198,33.963232
Pingxiang urban area,China,113.854556,27.622768
Dongying urban area,China,118.674767,37.434751
Yangquan urban area,China,113.580519,37.856972
Ma'anshan urban area,China,118.50676,31.670452
Banjarmasin urban area,Indonesia,114.5943784,-3.3186067
Pekan Baru urban area,Indonesia,101.4477793,0.5070677
Yichang urban area,China,111.286471,30.691967
Blitar urban area,Indonesia,112.1609056,-8.0954627
Fuxin urban area,China,121.670324,42.021619
Dingzhou urban area,China,114.990392,38.516461
Pingdingshan urban area,China,113.192661,33.76617
Zhenjiang urban area,China,119.425836,32.187849
Rizhao urban area,China,119.526925,35.416734
Pekalongan urban area,Indonesia,109.6745916,-6.8898362
Shouguang urban area,China,118.79074,36.85576
Liaocheng urban area,China,115.98546,36.45703
Klaten urban area,Indonesia,110.6645683,-7.657893
Ipoh urban area,Malaysia,101.090106,4.597479
Changde urban area,China,111.698497,29.031673
Panjin urban area,China,122.070714,41.119997
Kanazawa urban area,Japan,136.6562051,36.5613254
Melaka urban area,Malaysia,102.2500868,2.189594
Heze urban area,China,115.480656,35.23375
Zunhua urban area,China,117.965892,40.189202
Jombang urban area,Indonesia,112.28609,-7.5740867
Linfen urban area,China,111.518976,36.088005
Fuji urban area,Japan,138.6762728,35.1613985
Bangbu urban area,China,117.389719,32.916287
Mianyang urban area,China,104.678946,31.467495
Nanyang urban area,China,112.528308,32.990664
Cangzhou urban area,China,116.838835,38.304477
Gaobeidian urban area,China,115.873758,39.32652
Ganzhou urban area,China,114.93503,25.831829
Kumamoto urban area,Japan,130.7078911,32.8031004
Pemalang urban area,Indonesia,109.4259114,-7.0599422
Jinhua urban area,China,119.647421,29.079175
Shangqiu urban area,China,115.656339,34.414961
Yancheng urban area,China,120.16366,33.347316
Zhuji urban area,China,120.246863,29.708692
Kebumen urban area,Indonesia,109.6524575,-7.6680559
Wafangdian urban area,China,121.979603,39.627114
Kota Kinabalu urban area,Malaysia,116.0734568,5.980408
Yixing urban area,China,119.823308,31.340637
Jiaxing urban area,China,120.758543,30.753924
Angeles City urban area,Philippines,120.5887029,15.1449853
Xuchang urban area,China,113.852454,34.035771
Hamamatsu urban area,Japan,137.7261258,34.7108344
Shaoyang urban area,China,111.467791,27.238893
Hsinchu urban area,"Taiwan, China",120.9674798,24.8138287
Probolinggo urban area,Indonesia,113.2037131,-7.7764226
Mataram urban area,Indonesia,116.1004894,-8.5769951
Luohe urban area,China,114.016536,33.580873
Huzhou urban area,China,120.086823,30.894348
Bojonegoro urban area,Indonesia,111.7614661,-7.3174629
Subang urban area,Indonesia,107.7607951,-6.5622888
Weihai urban area,China,122.12042,37.513068
Padang urban area,Indonesia,100.417181,-0.9470832
Samarinda urban area,Indonesia,117.1436154,-0.4948232
Guigang urban area,China,109.598927,23.111531
Siping urban area,China,124.350398,43.16642
Anqing urban area,China,117.115101,30.53192
Mojokerto urban area,Indonesia,112.4401329,-7.4704747
Tulungagung urban area,Indonesia,111.9641728,-8.091221
Xintai urban area,China,117.767953,35.909032
Leshan urban area,China,103.765568,29.552106
Zhujiang urban area,China,113.6216667,22.7694444
Buon Ma Thu urban area,Vietnam,108.0382475,12.6661944
Jincheng urban area,China,112.851831,35.490702
Jiamusi urban area,China,130.318879,46.799778
Mito urban area,Japan,140.4709965,36.3665027
Yangjiang urban area,China,111.982232,21.857958
Jingzhou urban area,China,112.239741,30.335165
Fuyang urban area,China,115.814205,32.890124
Yiyang urban area,China,112.35518,28.55386
Suzhou urban area,China,120.58529,31.298979
Zigong urban area,China,104.778442,29.33903
Hai Du'o'ng urban area,Vietnam,106.3206861,20.9385958
Linqing urban area,China,115.704881,36.838277
Toyama urban area,Japan,137.2136768,36.6959518
Lufeng urban area,China,115.65226,22.917576
Changwon urban area,Republic of Korea,128.655142,35.239455
Zunyi urban area,China,106.927389,27.725654
Jixi urban area,China,130.969333,45.295075
Kuching urban area,Malaysia,110.3785438,1.6076812
Magelang urban area,Indonesia,110.2176941,-7.4797342
Yulin urban area,China,110.164756,22.636379
Tokushima urban area,Japan,134.5548438,34.0702703
Niigata urban area,Japan,139.0364126,37.9161924
Jambi urban area,Indonesia,103.6131203,-1.6101229
Shaoguan urban area,China,113.597547,24.810329
Langfang urban area,China,116.683752,39.538047
Toyohashi urban area,Japan,137.3914662,34.7691995
Zoucheng urban area,China,117.003743,35.405185
Wu'an urban area,China,114.203697,36.696506
Pingdu urban area,China,119.98842,36.776358
Renqiu urban area,China,116.082918,38.683592
Dengzhou urban area,China,112.087455,32.687734
Heyuan urban area,China,114.700961,23.743686
Linhai urban area,China,121.145046,28.858457
Ponorogo urban area,Indonesia,111.4696322,-7.8650759
Jiujiang urban area,China,116.00193,29.705077
Bacolod urban area,Philippines,122.9689565,10.6407389
Changhua urban area,"Taiwan, China",120.5624474,24.0716583
Bozhou urban area,China,115.778676,33.844582
Nha Trang urban area,Vietnam,109.1967488,12.2387911
Purwakarta urban area,Indonesia,107.4462717,-6.5406665
Nam Ha urban area,Vietnam,105.92299,20.5835196
Gaocheng urban area,China,114.847075,38.021567
Fengrun urban area,China,118.162216,39.832582
Wuchuan urban area,China,110.778411,21.441808
Shangrao urban area,China,117.943433,28.454863
Vinh urban area,Vietnam,105.6813333,18.6795848
Kuningan urban area,Indonesia,108.4928912,-6.9810103
Jepara urban area,Indonesia,110.6786933,-6.582711
Nanchong urban area,China,106.110698,30.837793
Zaozhuang urban area,China,117.323725,34.810488
Qingkou urban area,China,102.74674,23.115359
Kota Bharu urban area,Malaysia,102.2776838,6.1167855
Qingzhou urban area,China,118.479622,36.684528
Chongju urban area,Republic of Korea,127.4890319,36.6424341
Huludao urban area,China,120.83694,40.711041
Qianan urban area,China,118.701144,39.999175
Tongliao urban area,China,122.243444,43.65289
Qitaihe urban area,China,131.003138,45.771727
Yushu urban area,China,97.091934,33.011674
Songyuan urban area,China,124.825118,45.141789
Danyang urban area,China,119.606439,32.010214
Hejian urban area,China,116.099518,38.446624
Huicheng urban area,China,114.382541,23.084122
Dezhou urban area,China,116.357465,37.434093
Yongkang urban area,China,120.047651,28.888555
Liaoyuan urban area,China,125.14366,42.887767
Hue urban area,Vietnam,107.5623501,16.4498
Tongling urban area,China,117.811267,30.945516
Dongyang urban area,China,120.241566,29.289648
Nankang urban area,China,114.765403,25.661471
Dongsheng urban area,China,109.963339,39.822507
Yuncheng urban area,China,111.007529,35.026412
Laiwu urban area,China,117.676724,36.213814
Yanji urban area,China,129.508946,42.891255
Laizhou urban area,China,119.942327,37.177017
Shengzhou urban area,China,120.831026,29.56141
Shiyan urban area,China,110.798266,32.629398
Qujing urban area,China,103.796167,25.49
Wuwei urban area,China,102.638201,37.928267
Jati urban area,Indonesia,106.8974964,-6.1970255
Fenghuang urban area,China,109.598479,27.947978
Zhumadian urban area,China,114.022298,33.011529
Balikpapan urban area,Indonesia,116.8528526,-1.2379274
Guiping urban area,China,110.079379,23.394326
Akesu urban area,China,80.263387,41.167548
Mawlamyine urban area,Myanmar,97.6439611,16.4543173
Longkou urban area,China,120.477813,37.646108
Haining urban area,China,120.680757,30.510659
Meizhou urban area,China,116.122239,24.288615
Taizhou urban area,China,121.42076,28.65638
Shangyu urban area,China,120.868122,30.033121
Linzhou urban area,China,113.82013,36.083047
Sanya urban area,China,109.511909,18.252847
Matsuyama urban area,Japan,132.7655752,33.8391574
Tonghua urban area,China,125.939697,41.728401
Pontianak urban area,Indonesia,109.3425039,-0.0263303
Leiyang urban area,China,112.859795,26.422275
Xinyu urban area,China,114.917347,27.817809
Okayama urban area,Japan,133.9195019,34.6551456
Peicheng urban area,China,113.77125,33.675553
Shucheng urban area,China,116.948668,31.462026
Shimizu urban area,Japan,138.4895275,35.0158879
Kendari urban area,Indonesia,122.5129742,-3.9984597
Chenzhou urban area,China,113.014718,25.77051
Beihai urban area,China,109.120161,21.481291
Kisaran urban area,Indonesia,99.6278715,2.9831633
Tieling urban area,China,123.726035,42.223828
Yichun urban area,China,114.416786,27.815743
Zhucheng urban area,China,119.410103,35.995654
Danzhou urban area,China,109.580811,19.521134
Quzhou urban area,China,118.859457,28.97008
Jixian urban area,China,117.408306,40.046061
Chon Buri urban area,Thailand,100.9846717,13.3611431
Chaoyang urban area,China,120.449388,41.57365
Binzhou urban area,China,117.9707,37.38198
Hegang urban area,China,130.297964,47.349916
Wuzhou urban area,China,111.279115,23.476963
Zouping urban area,China,117.743109,36.862989
Tongxiang urban area,China,120.565099,30.630173
Liu'an urban area,China,116.521855,31.7337
Yibin urban area,China,104.643215,28.751769
Zhoukou urban area,China,114.696951,33.626149
Kofu urban area,Japan,138.5682015,35.66228
Deyang urban area,China,104.397894,31.126856
Sui'an urban area,China,108.93977,34.341575
Hamhung urban area,Democratic People's Republic of Korea,127.6124553,39.9838002
Weinan urban area,China,109.509786,34.499995
Chengde urban area,China,117.96275,40.952942
Lishi urban area,China,111.150733,37.517641
Rongcheng urban area,China,122.486658,37.16516
Pematangsiantar urban area,Indonesia,99.0681668,2.970042
Xinji urban area,China,115.218057,37.943315
Zhangqiu urban area,China,117.526228,36.681259
Sanmenling urban area,China,117.936692,28.519267
Can Tho urban area,Vietnam,105.7468535,10.0451618
Luzhou urban area,China,105.442258,28.871811
Bazhou urban area,China,116.391386,39.125898
Feicheng urban area,China,116.768358,36.182571
Zhuozhou urban area,China,115.974422,39.485283
Ezhou urban area,China,114.894843,30.39194
Bangtou urban area,China,118.754551,25.42239
Loudi urban area,China,111.993497,27.700063
Jingdezhen urban area,China,117.178443,29.268783
Sungai Petani urban area,Malaysia,100.4894179,5.643589
Shuangyashan urban area,China,131.159133,46.646509
Xinyang urban area,China,114.091023,32.146984
Jingjiang urban area,China,120.277138,31.982751
Singaraja urban area,Indonesia,115.0916254,-8.1149145
Beiliu urban area,China,110.354215,22.708311
Gaomi urban area,China,119.755597,36.382595
Laiyang urban area,China,120.711673,36.978941
Chiai urban area,"Taiwan, China",120.4491113,23.4800751
Hanzhong urban area,China,107.023323,33.06748
Nagano urban area,Japan,138.1947709,36.6485829
Lumajang urban area,Indonesia,113.1441558,-8.0943571
Qinzhou urban area,China,108.654147,21.979934
Hengshui urban area,China,115.670177,37.73892
Liuyang urban area,China,113.643076,28.162833
Pizhou urban area,China,118.012531,34.338888
Fuyang urban area,China,115.814205,32.890124
Taihe urban area,China,114.908873,26.789958
Huaihua urban area,China,110.001923,27.569517
Chonju urban area,Republic of Korea,127.1479532,35.8242238
Ansu urban area,China,80.263387,41.167548
Kuantan urban area,Malaysia,103.2201828,3.7633859
Jining urban area,China,116.587282,35.414982
Gongyi urban area,China,113.022497,34.747834
Shenzhou urban area,China,115.559574,38.001536
Taixing urban area,China,120.051744,32.171854
Bianzhuang urban area,China,117.100087,39.138304
Kagoshima urban area,Japan,130.5571158,31.5965535
Meihekou urban area,China,125.710896,42.539287
Jinzhou urban area,China,121.126846,41.095685
Haobi urban area,China,118.7769332,34.1117006
Shizuishan urban area,China,106.383304,38.983236
Zhongxing urban area,China,109.8891103,21.220078
Longyan urban area,China,117.017537,25.075123
Jiangdu urban area,China,119.569989,32.434672
Anpu urban area,China,116.682305,23.450032
Yulin urban area,China,110.164756,22.636379
Zhaozhou urban area,China,125.269281,45.708049
Zamboanga urban area,Philippines,122.0790267,6.9214424
Laixi urban area,China,120.51769,36.889084
Taishan urban area,China,112.794065,22.251924
Chuxiong urban area,China,101.528068,25.045532
Nongan urban area,China,125.184742,44.432889
Xingning urban area,China,115.73111,24.13663
Hebi urban area,China,114.297273,35.747225
Lianjiang urban area,China,119.539704,26.197364
Yutian urban area,China,81.677418,36.857081
Yishui urban area,China,118.627918,35.79045
Panzhihua urban area,China,101.718637,26.582347
Yongcheng urban area,China,116.4495,33.929291
Iloilo urban area,Philippines,122.5621063,10.7201501
Suihua urban area,China,126.968887,46.653845
